[-0.92977, -0.721875] ; [0.924445, 1.12863] ; [1.21772, 1.41977]
[-0.93083, -0.71494] ; [0.922342, 1.13074] ; [1.21723, 1.42132]
[-0.931875, -0.708033] ; [0.920268, 1.13281] ; [1.21675, 1.42285]
[-0.932921, -0.700996] ; [0.918197, 1.13488] ; [1.21628, 1.42437]
[-0.933982, -0.693795] ; [0.916097, 1.13698] ; [1.21581, 1.4259]
[-0.93504, -0.686548] ; [0.914004, 1.13908] ; [1.21535, 1.42742]
[-0.936087, -0.679318] ; [0.911936, 1.14114] ; [1.2149, 1.42891]
[-0.937133, -0.672022] ; [0.909869, 1.14321] ; [1.21445, 1.43041]
[-0.938202, -0.664514] ; [0.907759, 1.14532] ; [1.214, 1.43192]
[-0.939243, -0.657131] ; [0.905706, 1.14737] ; [1.21357, 1.43339]
[-0.940294, -0.649615] ; [0.903635, 1.14945] ; [1.21315, 1.43487]
[-0.941349, -0.642012] ; [0.901557, 1.15152] ; [1.21272, 1.43635]
[-0.9424, -0.634389] ; [0.899493, 1.15359] ; [1.21231, 1.43781]
[-0.943454, -0.626675] ; [0.897424, 1.15566] ; [1.21191, 1.43927]
[-0.944518, -0.61884] ; [0.895339, 1.15774] ; [1.21151, 1.44073]
[-0.945564, -0.611071] ; [0.893288, 1.15979] ; [1.21112, 1.44217]
[-0.946616, -0.603198] ; [0.891229, 1.16185] ; [1.21073, 1.44361]
[-0.947669, -0.595251] ; [0.889168, 1.16391] ; [1.21035, 1.44504]
[-0.948714, -0.58732] ; [0.887127, 1.16595] ; [1.20998, 1.44646]
[-0.949769, -0.579256] ; [0.885068, 1.16801] ; [1.20961, 1.44788]
[-0.950869, -0.570791] ; [0.882924, 1.17016] ; [1.20924, 1.44935]
[-0.951873, -0.563006] ; [0.880968, 1.17211] ; [1.2089, 1.45069]
[-0.952925, -0.554796] ; [0.87892, 1.17416] ; [1.20855, 1.45209]
[-0.953982, -0.546454] ; [0.876869, 1.17621] ; [1.20822, 1.45348]
[-0.955037, -0.53807] ; [0.874822, 1.17826] ; [1.2079, 1.45487]
[-0.956093, -0.529629] ; [0.872776, 1.1803] ; [1.20758, 1.45624]
[-0.957144, -0.521181] ; [0.870741, 1.18234] ; [1.20726, 1.45761]
[-0.958198, -0.512663] ; [0.868703, 1.18438] ; [1.20696, 1.45897]
[-0.959241, -0.504191] ; [0.866688, 1.18639] ; [1.20666, 1.46031]
[-0.960303, -0.495521] ; [0.864639, 1.18844] ; [1.20637, 1.46166]
[-0.961346, -0.486973] ; [0.862631, 1.19045] ; [1.20609, 1.46298]
[-0.962396, -0.47832] ; [0.86061, 1.19247] ; [1.20581, 1.46431]
[-0.963455, -0.469553] ; [0.858573, 1.19451] ; [1.20554, 1.46564]
[-0.964508, -0.4608] ; [0.856551, 1.19653] ; [1.20527, 1.46696]
[-0.965564, -0.451994] ; [0.854527, 1.19855] ; [1.20502, 1.46827]
[-0.966621, -0.443145] ; [0.852503, 1.20058] ; [1.20477, 1.46957]
[-0.96767, -0.434322] ; [0.850496, 1.20258] ; [1.20453, 1.47086]
[-0.968719, -0.425469] ; [0.848491, 1.20459] ; [1.2043, 1.47215]
[-0.969772, -0.416551] ; [0.84648, 1.2066] ; [1.20407, 1.47343]
[-0.970862, -0.407291] ; [0.8444, 1.20868] ; [1.20383, 1.47475]
[-0.97187, -0.398702] ; [0.842479, 1.2106] ; [1.20363, 1.47597]
[-0.972929, -0.389654] ; [0.840463, 1.21262] ; [1.20342, 1.47724]
[-0.973978, -0.380644] ; [0.838469, 1.21461] ; [1.20322, 1.47848]
[-0.975034, -0.371555] ; [0.836464, 1.21662] ; [1.20303, 1.47973]
[-0.976082, -0.362515] ; [0.834476, 1.2186] ; [1.20285, 1.48096]
[-0.977134, -0.353423] ; [0.832481, 1.2206] ; [1.20267, 1.48219]
[-0.978183, -0.344342] ; [0.830492, 1.22259] ; [1.2025, 1.48341]
[-0.979245, -0.335133] ; [0.828481, 1.2246] ; [1.20233, 1.48464]
[-0.980297, -0.326] ; [0.82649, 1.22659] ; [1.20217, 1.48585]
[-0.981348, -0.316865] ; [0.824501, 1.22858] ; [1.20202, 1.48705]
[-0.982444, -0.307328] ; [0.822428, 1.23065] ; [1.20187, 1.4883]
[-0.983451, -0.298557] ; [0.820525, 1.23256] ; [1.20174, 1.48944]
[-0.984506, -0.289363] ; [0.818531, 1.23455] ; [1.20161, 1.49062]
[-0.985571, -0.280076] ; [0.81652, 1.23656] ; [1.20148, 1.49182]
[-0.986612, -0.270994] ; [0.814554, 1.23853] ; [1.20136, 1.49297]
[-0.987663, -0.261824] ; [0.812571, 1.24051] ; [1.20125, 1.49414]
[-0.988722, -0.252584] ; [0.810573, 1.24251] ; [1.20114, 1.4953]
[-0.98977, -0.243441] ; [0.808597, 1.24448] ; [1.20104, 1.49645]
[-0.990822, -0.234264] ; [0.806613, 1.24647] ; [1.20095, 1.4976]
[-0.991871, -0.225118] ; [0.804636, 1.24844] ; [1.20086, 1.49873]
[-0.992923, -0.215959] ; [0.802654, 1.25043] ; [1.20079, 1.49986]
[-0.993979, -0.206773] ; [0.800666, 1.25241] ; [1.20072, 1.50098]
[-0.995031, -0.197631] ; [0.798685, 1.2544] ; [1.20066, 1.5021]
[-0.996088, -0.188456] ; [0.796695, 1.25639] ; [1.2006, 1.50321]
[-0.997136, -0.17937] ; [0.794721, 1.25836] ; [1.20055, 1.50431]
[-0.998192, -0.170229] ; [0.792733, 1.26035] ; [1.20051, 1.50541]
[-0.999252, -0.161069] ; [0.790738, 1.26234] ; [1.20047, 1.50651]
[-1.0003, -0.152062] ; [0.788773, 1.26431] ; [1.20044, 1.50758]
[-1.00135, -0.14302] ; [0.786797, 1.26628] ; [1.20041, 1.50866]
[-1.0024, -0.133997] ; [0.784821, 1.26826] ; [1.20039, 1.50973]
[-1.00345, -0.124933] ; [0.782831, 1.27025] ; [1.20038, 1.5108]
[-1.00451, -0.115933] ; [0.780851, 1.27223] ; [1.20037, 1.51186]
[-1.00556, -0.106895] ; [0.778857, 1.27422] ; [1.20037, 1.51292]
[-1.00661, -0.0979653] ; [0.776881, 1.2762] ; [1.20036, 1.51397]
[-1.00766, -0.0890683] ; [0.774907, 1.27817] ; [1.20036, 1.51503]
[-1.00872, -0.0801274] ; [0.772917, 1.28016] ; [1.20034, 1.5161]
[-1.00977, -0.0712486] ; [0.770935, 1.28215] ; [1.20033, 1.51717]
[-1.01084, -0.0622375] ; [0.768917, 1.28416] ; [1.20031, 1.51826]
[-1.01188, -0.0535249] ; [0.766958, 1.28612] ; [1.20028, 1.51933]
[-1.01293, -0.0447742] ; [0.764985, 1.2881] ; [1.20025, 1.5204]
[-1.01398, -0.0360037] ; [0.762992, 1.29009] ; [1.2002, 1.5215]
[-1.01503, -0.0273318] ; [0.761014, 1.29207] ; [1.20015, 1.5226]
[-1.0161, -0.0185707] ; [0.759006, 1.29407] ; [1.2001, 1.52372]
[-1.01714, -0.00998515] ; [0.757031, 1.29605] ; [1.20004, 1.52482]
[-1.01819, -0.00141015] ; [0.75505, 1.29803] ; [1.19998, 1.52594]
[-1.01924, 0.00711938] ; [0.75307, 1.30001] ; [1.19991, 1.52705]
[-1.0203, 0.015651] ; [0.751081, 1.302] ; [1.19984, 1.52818]
[-1.02135, 0.0241507] ; [0.749089, 1.30399] ; [1.19977, 1.52931]
[-1.0224, 0.0325873] ; [0.747103, 1.30598] ; [1.19968, 1.53044]
[-1.02346, 0.0409912] ; [0.745114, 1.30797] ; [1.1996, 1.53158]
[-1.02451, 0.0493223] ; [0.743132, 1.30995] ; [1.19951, 1.53272]
[-1.02557, 0.0577061] ; [0.741126, 1.31195] ; [1.19942, 1.53387]
[-1.02661, 0.0658964] ; [0.739156, 1.31392] ; [1.19932, 1.53501]
[-1.02766, 0.0741377] ; [0.737163, 1.31592] ; [1.19922, 1.53616]
[-1.02872, 0.0823262] ; [0.73517, 1.31791] ; [1.19912, 1.53732]
[-1.02977, 0.090485] ; [0.733174, 1.31991] ; [1.19901, 1.53848]
[-1.03082, 0.0985894] ; [0.731179, 1.3219] ; [1.1989, 1.53965]
[-1.03187, 0.106579] ; [0.7292, 1.32388] ; [1.19879, 1.54081]
[-1.03292, 0.114534] ; [0.727204, 1.32588] ; [1.19867, 1.54198]
[-1.03398, 0.122439] ; [0.725209, 1.32787] ; [1.19855, 1.54315]
[-1.03503, 0.13031] ; [0.723208, 1.32987] ; [1.19842, 1.54433]
[-1.03608, 0.138099] ; [0.721213, 1.33187] ; [1.19829, 1.54551]
[-1.03713, 0.14583] ; [0.71922, 1.33386] ; [1.19816, 1.54669]
